legal_name,city,county,state,vertical,naics_code,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,entity_status,is_distressed,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,data_sources
"Family Christian Doors, LLC",Haltom City,Tarrant,TX,garage_door,238290,https://familychristiandoors.com,Brandon Bailey,50,founder_since_2003_likely_late_20s_at_start,23,23,2003,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,25,"Owner age ~50 mid-career, exit unlikely <5 yrs",73,Clean solo-owner 23 yr operation,45,1 positive coasting tell; No maintenance plan (anti-modernization signal),78,"Haltom City = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",51,C_watch,Score 51 (C_watch) | L1=25 L2=73 L3=45 L4=78 | Confidence=medium (data_completeness=0.75),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.75,False,https://familychristiandoors.com/about-us/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Aaron's Garage Door Service,San Antonio,Bexar,TX,garage_door,238290,https://aaronsgaragedoor.com,Aaron (founder — surname unspecified),60,founder_tenure_since_1997,29,29,1997,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,71,Owner age ~60 approaching retirement; +4 for 29 yrs personal tenure,73,Clean solo-owner 29 yr operation,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,San Antonio = sun-belt growth metro,73,B_forward,Score 73 (B_forward) | L1=71 L2=73 L3=71 L4=81 | Confidence=medium (data_completeness=0.72),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.72,False,https://aaronsgaragedoor.com/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Mojo Garage Door Service,San Antonio,Bexar,TX,garage_door,238290,https://mojogaragedoors.com,Moses Mizrahi,50,founder_since_2007_~20yrs_experience,19,19,2007,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,25,"Owner age ~50 mid-career, exit unlikely <5 yrs",73,Clean solo-owner 19 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,San Antonio = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=25 L2=73 L3=71 L4=81 | Confidence=medium (data_completeness=0.75),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.75,False,https://mojogaragedoors.com/ | https://www.bbb.org/us/tx/san-antonio/profile/garage-doors/mojo-garage-door-service-0825-1000131566 | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Helotes Overhead Garage Doors and Contracting, LLC",Helotes,Bexar,TX,garage_door,238290,https://helotesoverheaddoors.com,"Tracy Dever (founder); Nathan Dever (son, 2nd gen now operates)",72,founder_tenure_since_1985,41,41,1985,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~72 squarely in retirement window; +4 for 41 yrs personal tenure,86,Clean multi-gen 41 yr operation with successor,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Helotes = sun-belt exurban / new-construction zone (+5 bonus),77,B_forward,Score 77 (B_forward) | L1=96 L2=86 L3=71 L4=84 | Confidence=high (data_completeness=0.88) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.88,True,https://helotesoverheaddoors.com/about-us/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
AMR Garage Doors & Gates,Houston,Harris,TX,garage_door,238290,https://amrgaragedoors.com,Unknown (family-owned per BBB),45,tech_25yr_combined_experience_suggests_mid_career,11,11,2015,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,25,"Owner age ~45 mid-career, exit unlikely <5 yrs",73,Clean solo-owner 11 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Houston = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=25 L2=73 L3=71 L4=81 | Confidence=low (data_completeness=0.60),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.6,False,https://amrgaragedoors.com/ | https://www.bbb.org/us/tx/houston/profile/garage-doors/amr-garage-doors-gates-0915-90074140 | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Cornerstone Overhead Garage Doors, LLC",Houston,Harris,TX,garage_door,238290,https://www.cornerstoneoverheaddoor.com,Iris Espinoza,55,founder_since_2007,19,19,2007,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,47,"Owner age ~55 pre-retirement, longer runway",73,Clean solo-owner 19 yr operation,45,1 positive coasting tell; No maintenance plan (anti-modernization signal),81,Houston = sun-belt growth metro,58,C_watch,Score 58 (C_watch) | L1=47 L2=73 L3=45 L4=81 | Confidence=medium (data_completeness=0.78),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.78,False,https://www.cornerstoneoverheaddoor.com/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Hutchins Garage Doors,Austin,Travis,TX,garage_door,238290,https://hutchinsgaragedoors.com,Don & Dan Grenier (acquired from 'Hutch' in 2011),60,second_owner_since_2011,29,29,1997,FLAG — verify post-Cedar-Park-acquisition (2024),False,f030e361-f1de-4121-b384-79cfffc0076f,71,Owner age ~60 approaching retirement; +4 for 29 yrs personal tenure,73,Clean solo-owner 29 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Austin = sun-belt growth metro,50,C_watch,Score 50 (C_watch) | L1=71 L2=73 L3=71 L4=81 | Confidence=medium (data_completeness=0.65) | Entity status flagged: FLAG — verify post-Cedar-Park-acquisition (2024),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.65,False,https://hutchinsgaragedoors.com | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Hannah's Garage Doors,Austin,Travis,TX,garage_door,238290,https://hannahsgaragedoors.com,Quinton Hannah,55,industry_since_1997_business_since_2001,25,25,2001,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,51,"Owner age ~55 pre-retirement, longer runway; +4 for 25 yrs personal tenure",73,Clean solo-owner 25 yr operation,91,4 positive coasting tells (4+ threshold); No maintenance plan (anti-modernization signal),81,Austin = sun-belt growth metro,73,B_forward,Score 73 (B_forward) | L1=51 L2=73 L3=91 L4=81 | Confidence=high (data_completeness=0.80),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.8,False,https://hannahsgaragedoors.com | https://www.bbb.org/us/tx/austin/profile/garage-door-repair/hannahs-garage-doors-0825-1000166711 | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Armstrong Garage Doors, Inc.",Austin,Travis,TX,garage_door,238290,https://armstrongdoorsaustin.com,"Armstrong (founder family, unspecified)",50,founder_since_2010,16,16,2010,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,25,"Owner age ~50 mid-career, exit unlikely <5 yrs",73,Clean solo-owner 16 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Austin = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=25 L2=73 L3=71 L4=81 | Confidence=medium (data_completeness=0.65),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.65,False,https://armstrongdoorsaustin.com | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Aaction Overhead Door, Inc.",Round Rock,Williamson,TX,garage_door,238290,https://aactionoverhead.com,Unknown (needs TX SOS lookup),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Round Rock = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.45),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.45,False,https://aactionoverhead.com/about-us/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Fratex Garage Door Specialists,Round Rock,Williamson,TX,garage_door,238290,https://fratexgarage.com,Unknown (family-owned per directory),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Round Rock = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
RidgeLine Overhead Garage Door,Pflugerville,Travis,TX,garage_door,238290,https://ridgelinegaragedoor.com,Unknown,,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Pflugerville = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.35),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.35,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
R&S Overhead Garage Door of Austin,Pflugerville,Travis,TX,garage_door,238290,https://rsoverheaddoor.com,Unknown,,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Pflugerville = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.35),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.35,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Tovar Garage Doors & Openers LLC,Alvarado,Johnson,TX,garage_door,238290,https://www.tovargaragedoors.com,Pedro Tovar & Alfonso Tovar (brothers),55,founders_since_2001_likely_late_20s_at_start,25,25,2001,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,51,"Owner age ~55 pre-retirement, longer runway; +4 for 25 yrs personal tenure",73,Clean solo-owner 25 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Alvarado = sun-belt exurban / new-construction zone (+5 bonus),67,B_forward,Score 67 (B_forward) | L1=51 L2=73 L3=71 L4=84 | Confidence=high (data_completeness=0.80),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.8,False,https://www.tovargaragedoors.com/garage-door-installation-company/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Alpha & Omega Door Company,Fort Worth,Tarrant,TX,garage_door,238290,https://alphaomegadoors.com,Mike Porter,55,founder_since_2001,25,25,2001,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,51,"Owner age ~55 pre-retirement, longer runway; +4 for 25 yrs personal tenure",73,Clean solo-owner 25 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Fort Worth = sun-belt growth metro,67,B_forward,Score 67 (B_forward) | L1=51 L2=73 L3=71 L4=81 | Confidence=medium (data_completeness=0.78),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.78,False,http://alphaomegadoors.com/about/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Mike's Overhead Doors Co.,Azle,Tarrant,TX,garage_door,238290,https://mikesoverhead.com,Mike (founder; surname unspecified),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Azle = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.expertise.com/home-improvement/garage-doors/texas/fort-worth | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Arnold's Garage Door Service,Fort Worth,Tarrant,TX,garage_door,238290,https://arnoldsgaragedoorservice.com,Arnold (founder; surname unspecified),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Fort Worth = sun-belt growth metro,51,C_watch,Score 51 (C_watch) | L1=22 L2=45 L3=71 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.expertise.com/home-improvement/garage-doors/texas/fort-worth | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Johnny B's Garage Doors And Service,Fort Worth,Tarrant,TX,garage_door,238290,https://johnnybsgaragedoorsfortworth.com,Johnny B (founder; surname unspecified),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Fort Worth = sun-belt growth metro,51,C_watch,Score 51 (C_watch) | L1=22 L2=45 L3=71 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.expertise.com/home-improvement/garage-doors/texas/fort-worth | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Keller Garage Doors,Keller,Tarrant,TX,garage_door,238290,https://kellertx-garagedoor.com,Unknown,60,30yrs_experience_claim_implies_55_60,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,67,Owner age ~60 approaching retirement,45,Tenure unverified — neutral sellability base,45,1 positive coasting tell; No maintenance plan (anti-modernization signal),84,Keller = sun-belt exurban / new-construction zone (+5 bonus),57,C_watch,Score 57 (C_watch) | L1=67 L2=45 L3=45 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/fort-worth | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Alamo Doors and Gates,Arlington,Tarrant,TX,garage_door,238290,https://alamodoor.com,Unknown (family-owned),55,25yr_business_implies_founder_50s,25,25,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,51,"Owner age ~55 pre-retirement, longer runway; +4 for 25 yrs personal tenure",73,Clean solo-owner 25 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Arlington = sun-belt exurban / new-construction zone (+5 bonus),59,C_watch,Score 59 (C_watch) | L1=51 L2=73 L3=71 L4=84 | Confidence=low (data_completeness=0.55) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.55,False,https://www.expertise.com/home-improvement/garage-doors/texas/fort-worth | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
The Good Guys Door Company,Dallas,Dallas,TX,garage_door,238290,https://thegoodguysdoor.com,Unknown (family-operated),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Dallas = sun-belt growth metro,51,C_watch,Score 51 (C_watch) | L1=22 L2=45 L3=71 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.expertise.com/home-improvement/garage-doors/texas/dallas | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Hollywood Overhead Door Co.,Dallas,Dallas,TX,garage_door,238290,https://hollywoodohd.com,Unknown,,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,45,1 positive coasting tell; No maintenance plan (anti-modernization signal),81,Dallas = sun-belt growth metro,44,D_pass,Score 44 (D_pass) | L1=22 L2=45 L3=45 L4=81 | Confidence=low (data_completeness=0.45),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.45,False,https://www.expertise.com/home-improvement/garage-doors/texas/dallas | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
