"legal_name","dba_name","city","county","zip","address","phone","website","owner_name","owner_age_estimate","owner_age_source","owner_tenure_years","years_in_business","provider_count_estimate","employee_count_estimate","is_distressed","distress_reasons","layer1_base_rate","layer1_comment","layer2_sellability","layer2_comment","layer3_behavioral_trigger","layer3_comment","layer4_market_pull","layer4_comment","final_score","final_tier","final_comment","value_add_thesis","confidence","data_completeness"
"Hage Energy","","Houston","Harris","","","","https://hagenrg.com/","","","license_tenure_proxy","30","30","","","False","[]","55","Hage Energy: business est. 1996 (30y); founder likely 55-65. Source: license_tenure_proxy.","75","Hage Energy: residential service trade; est. 1996; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Hage Energy: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Hage Energy: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","60","B_forward","Hage Energy: final 60 (L1=55/L2=75/L3=40/L4=88). Healthy multi-decade independent HVAC shop in Harris; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Smart Air","","Houston","Harris","","","","https://www.houstonsmartair.com/","","","unknown","","","","","False","[]","30","Smart Air: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","Smart Air: residential service trade; tenure unknown; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","35","Smart Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Smart Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Air Tech of Houston","","Houston","Harris","","","","https://www.airtechofhouston.com/","","","unknown","","","","","False","[]","30","Air Tech of Houston: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","60","Air Tech of Houston: residential service trade; tenure unknown; sub_trade=multi_trade_residential. No premium-network dealer status surfaced in spine; verify in enrichment. Multi-trade (HVAC + plumbing or electrical) — stickier customer base.","35","Air Tech of Houston: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Air Tech of Houston: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Air Innovations, LLC","","Houston","Harris","","","","https://www.airinnovationsllc.com/","","","license_tenure_proxy","21","21","","","False","[]","40","Air Innovations, LLC: business est. 2005 (21y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","75","Air Innovations, LLC: residential service trade; est. 2005; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Air Innovations, LLC: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Air Innovations, LLC: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","56","C_watch","Air Innovations, LLC: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"American Comfort Experts","","Cypress","Harris","","","","https://www.americancomfortexperts.com/","","","license_tenure_proxy","16","16","","","False","[]","40","American Comfort Experts: business est. 2010 (16y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","65","American Comfort Experts: residential service trade; est. 2010; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","American Comfort Experts: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","American Comfort Experts: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","53","C_watch","American Comfort Experts: final 53. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Adams A/C","Adams Air","Houston","Harris","","","","https://www.adams-air.com/houston/","","","license_tenure_proxy","11","11","","","False","[]","25","Adams A/C: business est. 2015 (11y); founder likely 35-50. Source: license_tenure_proxy. Recent founding; not in natural-exit window.","65","Adams A/C: residential service trade; est. 2015; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Adams A/C: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Adams A/C: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","49","C_watch","Adams A/C: final 49. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Airteam, Ltd.","","Houston","Harris","","","","","","","license_tenure_proxy","37","37","","","False","[]","55","Airteam, Ltd.: business est. 1989 (37y); founder likely 55-65. Source: license_tenure_proxy.","75","Airteam, Ltd.: residential service trade; est. 1989; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Airteam, Ltd.: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Airteam, Ltd.: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","60","B_forward","Airteam, Ltd.: final 60 (L1=55/L2=75/L3=40/L4=88). Healthy multi-decade independent HVAC shop in Harris; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Aaron's A/C & Heat","","Friendswood","Galveston","","","","https://www.aaronsactx.com/","","","license_tenure_proxy","17","17","","","False","[]","40","Aaron's A/C & Heat: business est. 2009 (17y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","65","Aaron's A/C & Heat: residential service trade; est. 2009; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Aaron's A/C & Heat: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Aaron's A/C & Heat: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Galveston County sub-market nudge +0. SBA 7(a) financeable to $5M.","53","C_watch","Aaron's A/C & Heat: final 53. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Air Specialist Air Conditioning & Plumbing","Air Specialist","Pearland","Brazoria","","","","","","","license_tenure_proxy","23","23","","","False","[]","40","Air Specialist Air Conditioning & Plumbing: business est. 2003 (23y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","80","Air Specialist Air Conditioning & Plumbing: residential service trade; est. 2003; sub_trade=multi_trade_residential. No premium-network dealer status surfaced in spine; verify in enrichment. Multi-trade (HVAC + plumbing or electrical) — stickier customer base.","40","Air Specialist Air Conditioning & Plumbing: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Air Specialist Air Conditioning & Plumbing: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Brazoria County sub-market nudge +0. SBA 7(a) financeable to $5M.","57","C_watch","Air Specialist Air Conditioning & Plumbing: final 57. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Clear the Air","","Pearland","Brazoria","","","","https://cleartheairac.com/","","","license_tenure_proxy","36","36","","","False","[]","55","Clear the Air: business est. 1990 (36y); founder likely 55-65. Source: license_tenure_proxy.","75","Clear the Air: residential service trade; est. 1990; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","45","Clear the Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Clear the Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Brazoria County sub-market nudge +0. SBA 7(a) financeable to $5M.","62","B_forward","Clear the Air: final 62 (L1=55/L2=75/L3=45/L4=85). Healthy multi-decade independent HVAC shop in Brazoria; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Certain Air Conditioning & Heating, LLC","Certain Air","The Woodlands","Montgomery","","","","http://www.certainair.com/","","","unknown","","","","","False","[]","30","Certain Air Conditioning & Heating, LLC: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","Certain Air Conditioning & Heating, LLC: residential service trade; tenure unknown; sub_trade=residential_light_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","35","Certain Air Conditioning & Heating, LLC: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Certain Air Conditioning & Heating, LLC: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Montgomery County sub-market nudge +0. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"The AC Guy","","The Woodlands","Montgomery","","","","https://the-ac-guy.com/","","","license_tenure_proxy","36","36","","","False","[]","55","The AC Guy: business est. 1990 (36y); founder likely 55-65. Source: license_tenure_proxy.","75","The AC Guy: residential service trade; est. 1990; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","The AC Guy: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","The AC Guy: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Montgomery County sub-market nudge +0. SBA 7(a) financeable to $5M.","60","B_forward","The AC Guy: final 60 (L1=55/L2=75/L3=40/L4=85). Healthy multi-decade independent HVAC shop in Montgomery; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
