"legal_name","dba_name","city","county","zip","address","phone","website","owner_name","owner_age_estimate","owner_age_source","owner_tenure_years","years_in_business","provider_count_estimate","employee_count_estimate","is_distressed","distress_reasons","layer1_base_rate","layer1_comment","layer2_sellability","layer2_comment","layer3_behavioral_trigger","layer3_comment","layer4_market_pull","layer4_comment","final_score","final_tier","final_comment","value_add_thesis","confidence","data_completeness"
"Slaughter Lane Chiropractic","Slaughter Lane Chiropractic","Austin","Travis","78748","3107 West Slaughter Lane","","https://www.slc-chiro.com/","Dr. David Wagner, D.C. (founder); Dr. Leon Wagner (son, associate)","60","license_tenure_proxy","33","33","2","4","False","[]","70","Dr. David Wagner, est. ~60, 33-yr Austin tenure.","78","Multi-doc family practice in south Austin. Promptemr online booking. Plausible $1M-$1.5M rev.","38","Successor (son Leon) already at the practice.","80","South Austin (Travis) — major metro.","64","B_forward","Dr. David Wagner founded Slaughter Lane Chiropractic 1992 (33 yrs); son Dr. Leon Wagner joined as associate. Live home-page fetch on slc-chiro.com 2026-05-17 confirms multi-doc family-succession structure. Demoted A→B.","Forward to ETA community if family path falters. Modern Promptemr already in place — limited tech-modernization upside.","high","0.55"
"Casa View Chiropractic Clinic","Casa View Chiropractic","Dallas","Dallas","75228","10622 Shiloh Rd","","https://www.casaviewchiropracticclinic.com/","Dr. Chad Blackwell (took over 1996 from father Dr. Gil Blackwell, founder 1960s)","55","license_tenure_proxy","29","60","3","6","False","[]","55","Dr. Chad Blackwell ~55, 29-yr ownership tenure (took over 1996). Younger owner profile.","78","60-yr legacy practice. 3 DCs + medspa. Plausible $1.5M-$3M rev.","25","Active growing practice with medspa expansion. Not coasting.","80","Dallas — major metro.","57","C_watch","Casa View Chiropractic Clinic, founded 1960s by Gilbert M. Blackwell, owned since 1996 by son Dr. Chad Blackwell + Dr. Jeff Vining + medspa expansion. Active multi-service group, not a coasting-solo profile. C_watch.","Active group practice — wrong thesis. Watch.","high","0.55"
"Denton Chiropractic Center","Denton Chiropractic Center","Denton","Denton","76201","1432 Underwood St","","https://www.dentonchiro.com/","Dr. Kent Noell (founder); Dr. Melissa Noell (family DC); Dr. Marcus Villarreal; Dr. Susan Aurich; Dr. Faith Kuehl","70","license_tenure_proxy","47","47","5","8","False","[]","78","Founder Dr. Kent Noell, est. ~70 (47-yr practice since 1978).","82","Multi-DC group (5 DCs), 25+ yr office manager. Plausible $2M-$4M rev.","35","Melissa Noell same-surname → strong family successor signal. Already structured for internal transition.","75","Denton (Denton County) — major metro.","65","B_forward","Founder Dr. Kent Noell (47 yrs, since 1978); 5-DC group includes family-surname match Dr. Melissa Noell + 3 other DCs. Live team page fetched 2026-05-17. Internal family succession in place. B_forward.","Strong B candidate — sizable 5-DC practice with family succession; if outside acquirer needed, this is forward-grade.","high","0.55"
"Walker Chiropractic Clinic","Walker Chiropractic Clinic","Fort Worth","Tarrant","76107","105 Boland St","(817) 332-1234","https://walkerchiroclinic.com/","Dr. Jason Walker, D.C. (Parker grad, since 2009)","45","license_tenure_proxy","16","16","1","2","False","[]","30","Dr. Jason Walker, ~45, 16-yr tenure. Younger owner — not in natural-exit window.","72","Solo 16-yr Fort Worth practice. Specialties: x-ray, ultrasound, children, sports, elder, spinal adjustment. M-F 9-6 with Thursdays closed. Plausible $400K-$700K rev.","50","2 coasting tells: closed Thursdays + lunch 12-2 daily. Online scheduling exists. Not full coasting.","78","Fort Worth (Tarrant) — major metro.","53","C_watch","Dr. Jason Walker (Parker grad, since 2009), solo 16-yr Fort Worth practice. Live home-page fetch on walkerchiroclinic.com 2026-05-17 confirms solo. Younger owner — far from natural-exit window. C_watch (re-score in 5+ yrs).","Wrong-timing target. Watch.","high","0.5"
"Rock Chiropractic","Rock Chiropractic","Round Rock","Williamson","","","","https://www.rockchiro.com/","Dr. Paul David McCartney (Life U 1995) + Dr. Doreen Groves (Life U Georgia, associate)","56","license_tenure_proxy","30","30","2","4","False","[]","50","Dr. Paul McCartney ~56 (Life U 1995, 30-yr tenure since 1995). Younger end of natural-exit window.","75","2 DCs + receptionist + new patient coord + massage. Plausible $700K-$1.2M rev.","38","Associate DC Doreen Groves present = internal-buy-in candidate.","78","Round Rock (Williamson) — major metro suburb of Austin.","59","C_watch","Dr. Paul McCartney (Dr. Rock, Life U 1995) + associate Dr. Doreen Groves. Live about page 2026-05-17 confirms 2-DC structure. Younger owner + internal successor = wrong thesis. C_watch.","Not a fit — younger owner + internal successor.","high","0.5"
"Butler Chiropractic","Butler Chiropractic","Flower Mound","Denton","75028","1501 Cross Timbers Road #200","(972) 221-7533","https://www.butlerchiropractic.com/","Dr. Andre Taylor, D.C. (current; Butler is legacy brand)","50","license_tenure_proxy","30","30","1","2","False","[]","40","Owner-of-record Dr. Andre Taylor may be the post-sale operator — brand-name mismatch = silent succession already complete.","72","Solo Flower Mound practice. Plausible $400K-$700K rev.","40","Brand-name mismatch is a failure-mode signal — Butler already sold. Current owner Taylor is likely the recent buyer.","78","Flower Mound (Denton) — premium DFW suburb.","53","C_watch","Butler Chiropractic Flower Mound — live fetch on butlerchiropractic.com 2026-05-17 reveals current DC is Dr. Andre Taylor (not Butler). 30-yr brand tenure ≠ Taylor's ownership tenure. Likely a recent post-sale operator. C_watch pending TBCE license-history check.","Wrong-timing target — recent buyer.","low","0.45"
"Werner Chiropractic Center","Werner Chiropractic","Houston","Harris","","","","https://chiropractorshoustontexas.com/","Dr. Werner","","license_tenure_proxy","30","30","","","False","[]","50","Owner age = license_tenure_proxy or unknown. Tenure ~30 yrs. Capping L1 per insufficient verification.","60","over 30 yrs Houston Upper Kirby/Greenway/Bellaire — solo claim from search snippet; live team-page not fetched in this run. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Houston (Harris) — TX major metro priority county.","50","C_watch","Spine entry, live team-page not fetched in this run. over 30 yrs Houston Upper Kirby/Greenway/Bellaire — solo claim from search snippet; live team-page not fetched in this run. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Discover Chiropractic & Wellness Cypress","Discover Chiropractic & Wellness","Cypress","Harris","","","","https://www.discoverchirohouston.com/","Dr. Mick + Dr. Stephanie Mahan (father-daughter)","","license_tenure_proxy","25","25","","","False","[]","50","Owner age = license_tenure_proxy or unknown. Tenure ~25 yrs. Capping L1 per insufficient verification.","60","Father-daughter team verified live-fetch 2026-05-17 — internal succession in place. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Cypress (Harris) — TX major metro priority county.","50","C_watch","Spine entry, live team-page not fetched in this run. Father-daughter team verified live-fetch 2026-05-17 — internal succession in place. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Sunrise Chiropractic Clinics","Sunrise Chiropractic","The Woodlands","Montgomery","","","","https://www.sunriseclinics.com/","","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","Live team-page not fetched in this run. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","The Woodlands (Montgomery) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Live team-page not fetched in this run. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Dr. Dana McKirahan Chiropractic","Dana McKirahan DC PA","Conroe","Montgomery","","","","","Dr. Dana McKirahan","","license_tenure_proxy","31","31","","","False","[]","50","Owner age = license_tenure_proxy or unknown. Tenure ~31 yrs. Capping L1 per insufficient verification.","60","since 1994 per search snippet; website unknown; live team-page not fetched. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Conroe (Montgomery) — TX major metro priority county.","50","C_watch","Spine entry, live team-page not fetched in this run. since 1994 per search snippet; website unknown; live team-page not fetched. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Le Bon Chiropractic","Le Bon Chiropractic","Spring","Harris","","","","https://www.lebonchiro.com/","","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","Live team-page not fetched. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Spring (Harris) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Live team-page not fetched. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Just Health Center / Woodlands Chiropractor","Just Health Center","Spring","Harris","77386","","","https://www.justhealthcenter.net/","","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","Live team-page not fetched. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Spring (Harris) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Live team-page not fetched. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Sugar Mill Chiropractic and Acupuncture","Sugar Mill Chiropractic","Sugar Land","Fort Bend","77478","54 Sugar Creek Center Blvd #100","","https://www.sugarmillchiro.com/","5 DCs (multi-DC group)","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","5 DCs verified live-fetch 2026-05-17 — multi-DC group, not coasting solo profile. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Sugar Land (Fort Bend) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. 5 DCs verified live-fetch 2026-05-17 — multi-DC group, not coasting solo profile. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Sugar Land Chiropractor (Kaemmerling)","Family Chiropractic Care","Sugar Land","Fort Bend","77478","12926 Dairy Ashford #182","","https://www.sugarlandchiro.com/","Dr. Edward Kaemmerling","","license_tenure_proxy","20","20","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~20 yrs. Capping L1 per insufficient verification.","60","Solo Palmer grad, 20+ yrs — confirmed solo live-fetch; younger owner profile. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Sugar Land (Fort Bend) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Solo Palmer grad, 20+ yrs — confirmed solo live-fetch; younger owner profile. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Koudelka Health Center","Koudelka Health Center","Sugar Land","Fort Bend","","","","https://www.koudelkahealthcenter.com/","Dr. Todd Koudelka (Houston Texans team chiro)","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","Live team-page not directly fetched; high-profile name. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Sugar Land (Fort Bend) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Live team-page not directly fetched; high-profile name. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Simon Spine","Simon Spine","Sugar Land","Fort Bend","77478","14019 Southwest Fwy #310","","https://medinasportsandspine.com/","Dr. Jose Simon","","","","","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~None yrs. Capping L1 per insufficient verification.","60","Solo per live-fetch 2026-05-17; modern ChiroTouch PMS = less coasting signal. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Sugar Land (Fort Bend) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Solo per live-fetch 2026-05-17; modern ChiroTouch PMS = less coasting signal. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
"Premier Sports Chiropractic","Premier Sports Chiropractic","Dallas","Dallas","","","","https://premiersportschiropractic.com/","Dr. Grimm","","license_tenure_proxy","16","16","","","False","[]","35","Owner age = license_tenure_proxy or unknown. Tenure ~16 yrs. Capping L1 per insufficient verification.","60","Founded 2009; younger practice. Plausible SBA-financeable but unverified.","40","Live team-page fetch not completed — per skill non-negotiable, capping below A/B-tier gate.","75","Dallas (Dallas) — TX major metro priority county.","45","C_watch","Spine entry, live team-page not fetched in this run. Founded 2009; younger practice. Per skill non-negotiable §2, tier capped at C_watch until live-fetch completes.","Pending live verification.","low","0.25"
